,carat,cut,color,clarity,depth,table,x,price
1,0.3,Ideal,E,SI1,62.1,58,4.27,499
2,0.33,Premium,G,IF,60.8,58,4.42,984
3,0.9,Very Good,E,VVS2,62.2,60,6.04,6289
4,0.42,Ideal,F,VS1,61.6,56,4.82,1082
5,0.31,Ideal,F,VVS1,60.4,59,4.35,779
6,1.02,Ideal,D,VS2,61.5,56,6.46,9502
7,1.01,Good,H,SI1,63.7,60,6.35,4836
8,0.5,Premium,E,SI1,61.5,62,5.09,1415
9,1.21,Good,H,SI1,63.8,64,6.72,5407
10,0.35,Ideal,F,VS2,60.5,57,4.52,706
11,0.32,Ideal,E,VS2,61.6,56,4.4,637
12,1.1,Premium,D,SI1,60.7,55,6.74,6468
13,0.5,Good,E,VS1,61.1,58.2,5.08,1932
14,0.71,Ideal,D,SI2,61.6,55,5.74,2767
15,1.5,Fair,G,VS2,66.2,53,7.12,10644
16,0.31,Ideal,G,VS2,61.6,55,4.37,544
17,0.34,Ideal,G,SI1,61.2,57,4.56,650
18,1.01,Ideal,D,VS2,59.8,56,6.52,7127
19,0.9,Good,D,SI1,61.9,64,6,3567
20,0.54,Premium,G,VS2,60,59,5.42,1637
21,1.04,Premium,D,VVS2,61.1,60,6.54,10984
22,0.4,Ideal,F,VS2,62.9,57,4.72,1080
23,1.52,Ideal,D,SI2,62.7,56,7.35,8631
24,1.19,Ideal,J,SI2,61.7,56,6.8,4508
25,0.66,Ideal,H,SI1,62.4,58,5.53,1609
26,1.5,Premium,H,SI2,61.4,62,7.4,7187
27,0.34,Ideal,D,SI1,,57,4.5,803
28,0.52,Ideal,E,VS2,61.5,56,5.18,1576
29,0.31,Ideal,H,SI1,61.9,56,4.38,595
30,0.71,Good,F,SI2,64,58,5.65,1818
31,1.19,Ideal,G,SI1,62.3,55,6.76,6335
32,0.72,Very Good,J,VVS2,63,59,5.7,2144
33,0.3,Ideal,H,SI1,62.4,55,4.3,450
34,0.77,Premium,E,VS1,60.8,56,5.95,3260
35,0.35,Very Good,D,VS1,59.9,56,4.61,846
36,1.21,Premium,J,VVS2,61.7,60,6.82,5431
37,1.01,Very Good,G,SI1,62.8,56,6.35,5049
38,0.51,Premium,I,SI1,61.3,58,5.16,1084
39,1.26,Ideal,J,SI1,62,56,6.9,5301
40,1.55,Good,H,VS2,61,61,7.42,11364
41,0.9,Good,G,SI2,63.8,59,6.05,3246
42,1.58,Premium,F,SI2,62.3,60,7.42,9290
43,0.43,Premium,F,SI1,60.5,60,4.88,1016
44,0.3,Ideal,G,VVS1,61.7,54,4.32,764
45,2,Good,I,SI1,63.9,57,8.01,12554
46,1.01,Premium,F,I1,62.6,57,6.42,2257
47,0.43,Premium,F,VS1,62.5,58,4.85,1129
48,0.52,Ideal,G,VVS2,61.7,55,5.21,2338
49,0.73,Very Good,E,SI2,62.1,58,5.75,2395
50,0.52,Ideal,D,VS2,61.8,55,5.16,1822
51,0.5,Premium,F,SI2,58,62,5.21,1031
52,1.14,Premium,G,VS2,61.4,60,6.71,7079
53,0.78,Premium,F,SI1,62.4,58,5.83,2777
54,0.43,Ideal,G,VS1,62.3,56,4.82,943
55,0.91,Very Good,G,SI2,62.9,54,6.14,3615
56,1.02,Very Good,F,VS1,62.4,58,6.42,7587
57,0.52,Good,E,SI1,63.7,54,5.12,1388
58,1.21,Ideal,I,VVS1,61.6,55,6.88,7086
59,0.5,Good,E,VS2,64.9,59,4.89,1389
60,1.01,Premium,G,VVS2,61.7,59,6.44,7466
61,0.51,Ideal,F,VVS2,62.6,57,5.13,2203
62,0.27,Premium,E,VS1,61.5,58,4.22,603
63,1.8,Very Good,E,SI1,62.2,57,7.81,17273
64,0.3,Ideal,F,VS1,61.9,55,4.28,673
65,1.13,Premium,H,SI1,60.9,59,6.79,5050
66,0.38,Premium,I,VS2,61.7,59,4.64,812
67,0.54,Premium,F,SI1,59.7,59,5.36,1369
68,0.3,Good,I,SI1,63.2,55,4.25,405
69,0.51,Ideal,D,SI2,59.8,55,5.23,1359
70,0.32,Premium,J,SI1,62.2,59,4.37,365
71,0.57,Ideal,F,VVS1,61.1,55,5.36,3057
72,0.44,Ideal,I,VVS2,60.8,56,4.9,912
73,0.52,Ideal,F,VS2,62.5,56,5.12,1629
74,0.7,Premium,E,VS1,58.4,59,5.91,2854
75,0.57,Very Good,G,SI2,59.4,58,5.39,1214
76,1.22,Ideal,G,VS2,62,57,6.88,8062
77,0.59,Ideal,E,SI1,62,55,5.37,1664
78,0.51,Ideal,G,VS2,62,56,5.11,1343
79,1.2,Premium,G,SI1,62.2,58,6.8,5154
80,2.16,Premium,H,SI2,62.3,57,8.29,11473
81,0.31,Very Good,G,VS1,60.5,57,4.39,640
82,0.4,Ideal,H,VVS2,61.4,55.7,4.72,905
83,1.68,Ideal,I,VS2,62.1,57,7.6,10800
84,0.9,Very Good,D,SI2,63.5,58,6.08,3918
85,0.43,Very Good,E,VS2,62.2,58,4.81,869
86,0.76,Ideal,H,VS2,61.9,55,5.85,3016
87,0.74,Ideal,E,SI2,,59,5.92,2501
88,1.26,Ideal,J,VS2,63.2,57,6.86,5306
89,0.41,Very Good,I,VVS2,63.1,56,4.75,1061
90,0.3,Ideal,H,VVS1,61.8,55,4.34,665
91,0.5,Ideal,F,VVS2,62.3,57,5.06,1850
92,0.54,Ideal,E,SI1,62.1,56,5.24,1637
93,0.4,Very Good,D,VVS2,59.4,61,4.77,977
94,1.51,Very Good,H,SI1,61.7,61,7.3,9218
95,0.5,Very Good,E,VVS2,60.9,59,5.07,2003
96,0.33,Ideal,E,VS1,60.9,57,4.47,850
97,0.9,Ideal,G,VVS1,61.6,57,6.24,5564
